2GIVE;2GIVE
ABY;ArtByte
ADA;Ada
ADT;adToken
ADX;AdEx
AEON;Aeon
AID;AidCoin
AMP;AMP
ANT;Aragon
ARDR;Ardor
ARK;Ark
AUR;AuroraCoin
BAT;Basic Attention Token
BAY;BitBay
BCC;Bitcoin Cash
BCPT;BlockMason Credit Protocol
BCY;BitCrystals
BITB;BitBean
BLITZ ;Blitzcash
BLK;BlackCoin
BLOCK;Blocknet
BLT;Bloom
BNT;Bancor
BRK;Breakout
BRX;Breakout Stake
BSD;BitSend
BTG;Bitcoin Gold
BURST;BURSTCoin
BYC;Bytecent
CANN;CannabisCoin
CFI;Cofound.it
CLAM;CLAMs
CLOAK;CloakCoin
COVAL;Circuits of Value
CRB;CreditBit
CRW;Crown
CURE;CureCoin
CVC;Civic
DASH;Dash
DCR;Decred
DCT;DECENT
DGB;Digibyte
DMD;Diamond
DMT;DMarket
DNT;district0x
DOGE;Dogecoin
DOPE;DopeCoin
DTB;Databits
DYN;Dynamic
EBST;eBoost
EDG;Edgeless
EFL;ElectronicGulden
EGC;EverGreenCoin
EMC;EmerCoin
EMC2;Einsteinium
ENG;Enigma
ENRG;EnergyCoin
ERC;EuropeCoin
ETC;Ethereum Classic
ETH;Ethereum
EXCL;ExclusiveCoin
EXP;Expanse
FCT;Factom
FLDC;FoldingCoin
FLO;Florin
FTC;Feathercoin
GAM;Gambit
GAME ;GameCredits
GBG;GBG
GBYTE;Bytes
GEO;GeoCoin
GLD;GoldCoin
GNO;Gnosis
GNT;Golem
GOLOS;Golos
GRC;GridCoin
GRS;Groestlcoin
GTO;Gifto
GUP;Guppy
HMQ;Humaniq
IGNIS;Ignis
INCNT;Incent
IOC;I/OCoin
ION;Ion
IOP;Internet Of People
KMD;Komodo
KORE;Kore
LBC;LBRY Credits
LGD;Legends
LMC;Lomocoin
LRC;Loopring
LSK;Lisk
LTC;Litecoin
LUN;Lunyr
MANA;Decentraland
MCO;Monaco
MEME;Memetic
MER;Mercury
MLN;Melon
MONA;MonaCoin
MUE;MonetaryUnit
MUSIC;Musicoin
NAV;NAVCoin
NBT;Nubits
NEO;Neo
NEOS;NeosCoin
NGC;Naga
NLG;Gulden
NMR;Numeraire
NXC;Nexium
NXS;Nexus
NXT;NXT
OK;OkCash
OMG;OmiseGO
OMNI;OMNI
PART;Particl
PAY;TenX Pay Token
PINK;PinkCoin
PIVX;Pivx
POLY;Polymath
POT;PotCoin
POWR;PowerLedger
PPC;Peercoin
PRO;Propy
PTC;PesetaCoin
PTOY;Patientory
QRL;Quantum Resistant Ledger
QTUM;Qtum
QWARK;Qwark
RADS;Radium
RBY;RubyCoin
RCN;Ripio Credit Network
RDD;ReddCoin
REP;Augur
RLC;iEx.ec
RVR;RevolutionVR
SALT;Salt
SBD;SteemDollars
SC;Siacoin
SEQ;Sequence
SHIFT ;Shift
SIB;Siberian Chervonets
SLR;SolarCoin
SLS;SaluS
SNRG ;Synergy
SNT;Status Network Token
SPHR;Sphere
SPR;SpreadCoin
SRN;Sirin Token
STEEM;STEEM
STORJ;Storj
STORM;Storm
STRAT;Stratis
SWIFT;Bitswift
SWT;Swarm City Token
SYNX;Syndicate
SYS;SysCoin
THC;HempCoin
TIX;Blocktix
TKS;Tokes
TRST;Trustcoin
TRUST;TrustPlus
TRX;TRON
TUSD;TrueUSD
TX;TransferCoin
UBQ;Ubiq
UNB;UnbreakableCoin
UP;UpToken
VEE;BLOCKv
VIA;ViaCoin
VIB;Viberate
VRC;VeriCoin
VRM;Verium
VTC;Vertcoin
VTR;vTorrent
WAVES;Waves
WAX;Worldwide Asset Exchange
WINGS;Wings DAO
XCP;Counterparty
